Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Cal,Description,Ingredients,Instructions,Nutrition,Tags
5-ingredient oven-roasted chicken thighs and red peppers,https://www.kitchenstories.com/en/recipes/5-ingredient-oven-roasted-chicken-thighs-and-red-peppers,Easy 👌,15 min,30 min,10 min,2,988,Based on 48 ratings,"4 chicken thighs, 2 red bell peppers, 2 shallots, 1 lemon, 4 sprigs rosemary, olive oil, salt, pepper, baguette (for serving)","Preheat oven to 220°C/425°F. Heat a cast iron pan over medium-high heat. Core bell peppers and slice into thick strips. Thinly slice shallots and quarter lemon. Pat chicken thighs dry on both sides with paper towel. Add some olive oil to the pan, then add the peppers, shallots, and rosemary sprigs. Season with salt and pepper and sauté for approx. 4 min. Add half the lemon quarters to the pan and place the chicken thighs on top, skin side-up. Drizzle chicken with some olive oil and season with salt and pepper. Transfer the pan to the oven and roast until chicken is golden and cooked through, approx. 20 min. Turn the grill function of your oven to high and cook for another 5 – 10 min., or until chicken skin is golden brown and crisp. Let rest for at least 10 min. before serving with the remaining lemon wedges and warm baguette. Enjoy!","Cal988, Fat64 g, Protein68 g, Carb30 g","roasting,weeknight dinner,one pot,main,paleo,poultry,lactose free,savory,for two,herbs,vegetables,autumn,winter,oven"
One-pot penne with chicken,https://www.kitchenstories.com/en/recipes/one-pot-penne-with-chicken,Easy 👌,,,,2,,No ratings,"200 g chicken breasts, salt, pepper, 2 tbsp soy sauce, ½ lemon, ½ onion, 2 cloves garlic, 225 g green beans, 150 g cherry tomatoes, 250 g penne, 30 g parsley, 1 tbsp olive oil, Parmesan cheese (for serving)","Season the chicken with the salt, pepper, soy sauce and the juice of the lemon. For more color and texture, briefly sear the chicken breast in a skillet, then cut it into 3/4-inch pieces. Bring 2 cups of water to a boil, then add salt. While you wait, peel and finely chop the onion and garlic. Wash the green beans and cherry tomatoes. Cut the beans into 2 or 3 segments. When the water comes to a boil, add the penne, chicken pieces, onion, and garlic. Stir often. Halfway through the pasta cooking time, add the beans and tomatoes. One minute before the pasta is cooked, stir in the chopped parsley and butter or oil. Season to taste. Serve with grated Parmesan cheese.",N/A,"italian,weeknight dinner,one pot,main,american,cheese,pasta,prepare ahead,comfort food,poultry,european,savory,vegetables,winter"
Spiced grilled chicken with basil-cherry tomato salad,https://www.kitchenstories.com/en/recipes/spiced-grilled-chicken-with-basil-cherry-tomato-salad,Easy 👌,30 min,0 min,120 min,4,350,Based on 5 ratings,"1 kg chicken breast, 20 g basil, 150 g cherry tomatoes, 100 ml lemon juice, 1½ tbsp olive oil, 1 tbsp soy sauce, 2 tsp toasted sesame oil, 1 tbsp chili flakes, 1 tbsp ground turmeric, 1 tbsp balsamic glaze, 1½ scallions, 10 g ginger, 1 clove garlic, 2 tbsp balsamic vinegar, 3 tbsp olive oil, vegetable oil (for frying), salt, pepper, lemon juice (for serving), scallion (for garnish)","Roughly chop half of the basil, then add to a bowl along with the lemon juice, olive oil, soy sauce, and sesame oil. Add chili flakes, turmeric, and balsamic glaze to bowl. Chop scallions and grate ginger, add to the bowl, and mix. Cut chicken into strips, add to bowl, and toss well to coat. Cover bowl, transfer to the fridge, and let marinate for at least 2 hrs. or overnight. In the meantime, for the tomato salad, quarter cherry tomatoes and thinly slice garlic. Add to a bowl along with remaining basil leaves and balsamic vinegar and olive oil to taste. Season with salt and pepper. Mix well. Once chicken strips have finished marinating, add a bit of oil to a grill pan set over medium heat and fry chicken for approx. 8 – 10 min., flipping halfway through. Add chicken to a serving plate, squeeze fresh lemon juice on top, and garnish with some chopped scallions. Serve with tomato salad. Enjoy!","Cal350, Fat8 g, Protein60 g, Carb6 g","marinating,weeknight dinner,spicy,main,comfort food,poultry,low carb,lactose free,spices,savory,for four,herbs,vegetables"
Chicken cordon bleu with creamy white asparagus,https://www.kitchenstories.com/en/recipes/chicken-cordon-bleu-with-creamy-white-asparagus,Easy 👌,40 min,0 min,0 min,4,767,Based on 40 ratings,"4 chicken breasts, 100 g ham, 100 g Gruyère, 3 eggs, 100 g flour, 200 g breadcrumbs, 800 g white asparagus, 100 ml white wine, 1 lemon, 80 g butter, 2 tbsp flour, 200 ml heavy cream, 10 g parsley, salt, pepper, sugar, vegetable oil","Pound chicken breasts flat. Season with salt and pepper. Place a slice of ham and cheese on each breast. Roll up and secure with toothpicks. Beat eggs. Coat chicken in flour, then egg, then breadcrumbs. Heat oil and fry for 15-20 min until golden. Peel asparagus. Boil with salt, sugar, butter and lemon juice for 15 min. Remove asparagus. Make roux with butter and flour. Add asparagus cooking liquid and cream. Season. Serve chicken with asparagus and sauce.","Cal767, Fat47 g, Protein58 g, Carb32 g","french,main,cheese,comfort food,poultry,dinner party,european,savory,spring"
Crispy chicken with chermoula and wilted frisée,https://www.kitchenstories.com/en/recipes/crispy-chicken-with-chermoula-and-wilted-frisee,Medium 👍,45 min,0 min,0 min,2,789,Based on 4 ratings,"500 g chicken breast, 200 g frisée lettuce, 20 g cilantro, 20 g parsley, 3 cloves garlic, 1 lemon, 2 tsp cumin, 1 tsp paprika, ½ tsp chili flakes, 100 ml olive oil, 2 tbsp red wine vinegar, salt, pepper","Make chermoula: blend cilantro, parsley, garlic, lemon juice, cumin, paprika, chili flakes, and olive oil. Season chicken and pan-fry until crispy and cooked through. Wilt frisée in pan with garlic and vinegar. Serve chicken with chermoula and frisée.","Cal789, Fat54 g, Protein68 g, Carb8 g","north african,main,poultry,low carb,spices,savory,herbs"
Chicken stroganoff,https://www.kitchenstories.com/en/recipes/chicken-stroganoff,Easy 👌,30 min,0 min,0 min,4,548,Based on 29 ratings,"600 g chicken breasts, 400 g mushrooms, 2 onions, 3 cloves garlic, 200 ml chicken stock, 200 g sour cream, 2 tbsp tomato paste, 2 tbsp Dijon mustard, 30 g butter, 2 tbsp flour, 10 g parsley, salt, pepper, paprika","Cut chicken into strips. Slice mushrooms and onions. Mince garlic. Brown chicken in butter. Remove and set aside. Sauté onions and mushrooms. Add garlic. Sprinkle with flour. Add tomato paste, stock, mustard. Simmer. Stir in sour cream. Add chicken back. Season. Garnish with parsley.","Cal548, Fat27 g, Protein57 g, Carb16 g","russian,weeknight dinner,main,comfort food,poultry,savory,mushrooms,dairy"
Pasta with Mediterranean chicken ragù,https://www.kitchenstories.com/en/recipes/pasta-with-mediterranean-chicken-ragu,Easy 👌,15 min,25 min,0 min,4,678,Based on 16 ratings,"500 g chicken breast mince, 400 g rigatoni, 400 g canned tomatoes, 2 onions, 3 cloves garlic, 100 g sun-dried tomatoes, 100 g olives, 20 g basil, 2 tbsp tomato paste, 100 ml red wine, olive oil, salt, pepper, Parmesan","Dice onions and garlic. Brown chicken mince. Add onions and garlic. Add tomato paste. Deglaze with wine. Add canned tomatoes, sun-dried tomatoes, olives. Simmer 20 min. Cook pasta. Toss with ragù. Top with basil and Parmesan.","Cal678, Fat18 g, Protein45 g, Carb82 g","italian,weeknight dinner,pasta,main,poultry,mediterranean,savory"
Crispiest chicken with potato purée and miso gravy,https://www.kitchenstories.com/en/recipes/crispiest-chicken-with-potato-puree-and-miso-gravy,Medium 👍,1 h,0 min,0 min,4,986,Based on 102 ratings,"4 chicken breasts, 1 kg potatoes, 200 ml milk, 100 g butter, 2 tbsp white miso paste, 300 ml chicken stock, 2 tbsp cornstarch, 100 g flour, 2 eggs, 200 g panko, salt, pepper","Boil potatoes. Mash with milk and butter. Season. Pound chicken flat. Season. Coat in flour, egg, panko. Fry until golden and cooked through. Make gravy: whisk miso into hot stock. Thicken with cornstarch slurry. Serve chicken with potato purée and miso gravy.","Cal986, Fat42 g, Protein67 g, Carb86 g","japanese,main,comfort food,poultry,fusion,savory"
Classic pad thai,https://www.kitchenstories.com/en/recipes/classic-pad-thai,Medium 👍,40 min,0 min,0 min,4,629,Based on 185 ratings,"300 g rice noodles, 300 g chicken breast, 3 eggs, 200 g bean sprouts, 3 cloves garlic, 3 shallots, 50 g peanuts, 3 limes, 3 tbsp fish sauce, 3 tbsp tamarind paste, 3 tbsp brown sugar, 2 tbsp vegetable oil, 3 scallions, 10 g cilantro, chili flakes","Soak noodles. Make sauce: mix fish sauce, tamarind, sugar. Cut chicken into strips. Scramble eggs, set aside. Stir-fry chicken, garlic, shallots. Add noodles and sauce. Toss. Add bean sprouts, egg, peanuts. Serve with lime, scallions, cilantro, chili.","Cal629, Fat18 g, Protein37 g, Carb78 g","thai,main,street food,poultry,asian,noodles,savory"
Oyakodon (Japanese chicken and egg rice bowl),https://www.kitchenstories.com/en/recipes/oyakodon-japanese-chicken-and-egg-rice-bowl,Easy 👌,30 min,0 min,0 min,2,758,Based on 71 ratings,"300 g chicken thighs, 4 eggs, 1 onion, 2 scallions, 400 g cooked rice, 200 ml dashi, 3 tbsp soy sauce, 3 tbsp mirin, 1 tbsp sugar","Cut chicken into bite-sized pieces. Slice onion. Mix dashi, soy sauce, mirin, sugar. Simmer onion in sauce. Add chicken, cook through. Beat eggs, pour over. Cover, cook until eggs just set. Serve over rice. Garnish with scallions.","Cal758, Fat18 g, Protein46 g, Carb97 g","japanese,weeknight dinner,one pot,main,rice,poultry,asian,savory,eggs"
5-ingredient cordon bleu-style chicken with green beans,https://www.kitchenstories.com/en/recipes/5-ingredient-cordon-bleu-style-chicken-with-green-beans,Easy 👌,30 min,0 min,0 min,2,612,Based on 31 ratings,"2 chicken breasts, 4 slices ham, 100 g Gruyère, 300 g green beans, 2 tbsp butter, salt, pepper","Pound chicken flat. Season. Top with ham and cheese. Roll up, secure with toothpicks. Brown in butter. Cover, cook through. Steam green beans. Serve together.","Cal612, Fat32 g, Protein72 g, Carb8 g","french,weeknight dinner,main,cheese,comfort food,poultry,low carb,savory"
Quick basil tomato pasta with fried chicken,https://www.kitchenstories.com/en/recipes/quick-basil-tomato-pasta-with-fried-chicken-5f79,Easy 👌,25 min,0 min,0 min,4,,Based on 2 ratings,"400 g chicken breast, 400 g spaghetti, 400 g canned tomatoes, 3 cloves garlic, 20 g basil, 50 g Parmesan, olive oil, salt, pepper, chili flakes","Cook pasta. Fry seasoned chicken until cooked. Slice. Sauté garlic, add tomatoes, simmer. Toss pasta with sauce, basil, Parmesan. Top with chicken. Serve.",N/A,"italian,weeknight dinner,pasta,main,poultry,quick,savory"
One-pot Mediterranean chicken and rice,https://www.kitchenstories.com/en/recipes/one-pot-mediterranean-chicken-and-rice,Easy 👌,45 min,0 min,0 min,4,654,Based on 81 ratings,"600 g chicken thighs, 300 g rice, 1 onion, 3 cloves garlic, 1 red bell pepper, 200 g cherry tomatoes, 100 g olives, 600 ml chicken stock, 1 lemon, 20 g parsley, 2 tsp paprika, 1 tsp oregano, olive oil, salt, pepper","Brown chicken. Remove. Sauté onion, garlic, pepper. Add rice, paprika, oregano. Add stock, tomatoes, olives. Nestle chicken on top. Cover, simmer until rice cooked. Garnish with lemon and parsley.","Cal654, Fat24 g, Protein42 g, Carb68 g","mediterranean,weeknight dinner,one pot,rice,main,poultry,savory"
Weeknight chicken laksa (Malaysian curry noodle soup),https://www.kitchenstories.com/en/recipes/weeknight-chicken-laksa-malaysian-curry-noodle-soup,Easy 👌,40 min,0 min,0 min,4,678,Based on 104 ratings,"400 g chicken breast, 200 g rice noodles, 400 ml coconut milk, 400 ml chicken stock, 3 tbsp laksa paste, 200 g bean sprouts, 1 red chili, 20 g cilantro, 2 limes, 100 g fried tofu puffs, 2 eggs (hard-boiled)","Poach chicken in stock. Shred. Cook noodles. Sauté laksa paste. Add coconut milk and stock. Simmer. Add chicken. Serve over noodles with bean sprouts, tofu puffs, eggs, chili, cilantro, lime.","Cal678, Fat32 g, Protein38 g, Carb56 g","malaysian,main,soup,noodles,poultry,spicy,asian,savory"
"Chicken with borlotti beans, mushrooms & 5 grains",https://www.kitchenstories.com/en/recipes/chicken-with-borlotti-beans-mushrooms-5-grains-f553,Easy 👌,30 min,0 min,0 min,2,,Based on 1 rating,"2 chicken breasts, 200 g cooked grains, 200 g borlotti beans, 200 g mushrooms, 2 cloves garlic, 1 lemon, 20 g parsley, olive oil, salt, pepper",Season and fry chicken. Slice. Sauté mushrooms and garlic. Add beans and grains. Warm through. Season. Toss with lemon juice and parsley. Top with chicken.,N/A,"weeknight dinner,main,healthy,poultry,grains,beans,savory"
5-ingredient chicken curry pasta,https://www.kitchenstories.com/en/recipes/5-ingredient-chicken-curry-pasta,Easy 👌,25 min,0 min,0 min,4,782,Based on 47 ratings,"400 g chicken breast, 400 g penne, 200 ml cream, 200 g frozen peas, 2 tbsp curry powder, salt, pepper","Cook pasta. Cut chicken into pieces, season with curry powder. Fry chicken. Add cream and peas. Simmer. Toss with pasta. Season.","Cal782, Fat28 g, Protein48 g, Carb86 g","weeknight dinner,pasta,main,quick,poultry,creamy,savory"
"Hot honey chicken tray bake with potatoes, broccoli & feta",https://www.kitchenstories.com/en/recipes/hot-honey-chicken-tray-bake-with-potatoes-broccoli-feta,Easy 👌,15 min,35 min,0 min,4,698,Based on 34 ratings,"600 g chicken thighs, 600 g baby potatoes, 300 g broccoli, 100 g feta, 3 tbsp honey, 2 tbsp hot sauce, 2 tbsp olive oil, 1 tsp paprika, salt, pepper","Halve potatoes. Cut broccoli. Toss with oil, paprika, salt, pepper. Roast 20 min. Mix honey and hot sauce. Brush on chicken. Add to tray. Roast 15 min more. Crumble feta on top.","Cal698, Fat32 g, Protein48 g, Carb54 g","weeknight dinner,main,tray bake,poultry,sweet and spicy,savory"
Healthy chicken pesto,https://www.kitchenstories.com/en/recipes/healthy-chicken-pesto-0c1f,Easy 👌,20 min,0 min,0 min,2,,No ratings,"2 chicken breasts, 100 g pesto, 200 g cherry tomatoes, 50 g mozzarella, 20 g basil, olive oil, salt, pepper",Season chicken. Spread pesto on top. Add tomatoes and mozzarella. Bake until chicken cooked and cheese melted. Garnish with basil.,N/A,"weeknight dinner,main,italian,healthy,poultry,cheese,savory"
Grilled ricotta chicken,https://www.kitchenstories.com/en/recipes/grilled-ricotta-chicken-3f41,Easy 👌,30 min,0 min,0 min,4,,No ratings,"4 chicken breasts, 200 g ricotta, 50 g Parmesan, 2 cloves garlic, 1 lemon, 20 g basil, salt, pepper, olive oil","Mix ricotta, Parmesan, garlic, lemon zest, basil. Cut pocket in chicken. Stuff with ricotta mixture. Grill until cooked through. Serve with lemon wedges.",N/A,"grilling,main,italian,cheese,poultry,savory,summer"
Bavarian roast chicken,https://www.kitchenstories.com/en/recipes/bavarian-roast-chicken,Medium 👍,30 min,1 h,0 min,4,876,Based on 8 ratings,"1 whole chicken (1.5 kg), 2 onions, 2 carrots, 500 ml beer, 50 g butter, 2 tsp paprika, 1 tsp caraway seeds, salt, pepper",Season chicken inside and out. Brown in butter. Add roughly chopped onions and carrots. Roast at 180°C. Baste with beer every 15 min. Roast 1 hour until golden and cooked through.,"Cal876, Fat56 g, Protein72 g, Carb12 g","german,main,roasting,poultry,comfort food,savory,autumn"
Chicken Kiev,https://www.kitchenstories.com/en/recipes/chicken-kiev-ec35,Medium 👍,40 min,20 min,60 min,4,,No ratings,"4 chicken breasts, 100 g butter (softened), 3 cloves garlic, 20 g parsley, 2 eggs, 100 g flour, 200 g breadcrumbs, salt, pepper, vegetable oil","Mix butter with minced garlic and parsley. Freeze. Pound chicken flat. Place butter in center. Roll up, secure. Coat in flour, egg, breadcrumbs. Chill 1 hour. Fry until golden and cooked through.",N/A,"russian,main,comfort food,poultry,impressive,savory"
Pulled chicken stuffed avocado,https://www.kitchenstories.com/en/recipes/pulled-chicken-stuffed-avocado,Easy 👌,20 min,0 min,0 min,2,548,Based on 13 ratings,"200 g cooked chicken (shredded), 2 avocados, 50 g Greek yogurt, 1 lime, 1 tomato, 1/2 red onion, 10 g cilantro, hot sauce, salt, pepper","Halve avocados, remove pit. Mix shredded chicken with yogurt, lime juice, diced tomato, onion, cilantro, hot sauce. Season. Stuff avocado halves. Serve.","Cal548, Fat38 g, Protein32 g, Carb14 g","lunch,main,low carb,healthy,poultry,avocado,savory"
Chicken and cheddar quesadillas with salad,https://www.kitchenstories.com/en/recipes/chicken-and-cheddar-quesadillas-with-salad,Easy 👌,20 min,0 min,0 min,2,687,Based on 8 ratings,"200 g cooked chicken (sliced), 4 flour tortillas, 150 g cheddar, 1 red bell pepper, 1 onion, 100 g mixed greens, 1 lime, sour cream, salsa, butter","Slice pepper and onion. Sauté until soft. On tortilla, layer cheese, chicken, veggies, more cheese. Top with second tortilla. Fry in butter until golden and cheese melted. Cut into wedges. Serve with salad, sour cream, salsa.","Cal687, Fat36 g, Protein42 g, Carb48 g","mexican,quick,main,cheese,poultry,comfort food,savory"
5-ingredient grilled za'atar chicken burger,https://www.kitchenstories.com/en/recipes/5-ingredient-grilled-zaatar-chicken-burger,Easy 👌,25 min,0 min,0 min,4,542,Based on 9 ratings,"4 chicken breasts, 4 burger buns, 2 tbsp za'atar, 100 g Greek yogurt, 100 g arugula, 1 lemon, olive oil, salt, pepper","Coat chicken with za'atar, oil, salt, pepper. Grill until cooked through. Mix yogurt with lemon juice. Toast buns. Assemble burgers with yogurt sauce, chicken, arugula.","Cal542, Fat14 g, Protein52 g, Carb48 g","grilling,burger,main,middle eastern,poultry,summer,savory"
"Gnocchi with chicken, tomato and vegetables",https://www.kitchenstories.com/en/recipes/gnocchi-with-chicken-tomato-and-vegetables-1b7d,Easy 👌,30 min,0 min,0 min,4,,No ratings,"400 g chicken breast, 500 g gnocchi, 400 g canned tomatoes, 1 zucchini, 1 bell pepper, 2 cloves garlic, 20 g basil, 50 g Parmesan, olive oil, salt, pepper","Cut chicken and vegetables. Brown chicken. Remove. Sauté vegetables and garlic. Add tomatoes. Simmer. Add chicken back. Cook gnocchi, add to sauce. Toss. Top with basil and Parmesan.",N/A,"italian,weeknight dinner,main,poultry,vegetables,savory"
Cauliflower cous cous,https://www.kitchenstories.com/en/recipes/cauliflower-cous-cous-0928,Easy 👌,5 min,30 min,0 min,1,,No ratings,"180 g chicken breasts, 80 g peas, 1 tbsp coconut oil, 1 clove garlic, 5 olives, 150 g cauliflower","Bake chicken breast at 180°C for 20 minutes. Blitz cauliflower in food processor. Boil cauliflower and peas for five minutes. Heat coconut oil in a pan, add cooked cauliflower and peas. Then add garlic clove and olive and fry for 2 to 3 minutes. Top cauliflower couscous with chicken breast.",N/A,"on the go,middle eastern,weeknight dinner,main,prepare ahead,comfort food"
Japanese chicken tarragon,https://www.kitchenstories.com/en/recipes/japanese-chicken-tarragon,Easy 👌,30 min,0 min,0 min,2,948,Based on 37 ratings,"400 g chicken thighs (boneless), 25 g tarragon, 2 scallions, 10 g ginger, 250 ml dashi, 3 tbsp soy sauce, 3 tbsp mirin, 2 tbsp sesame oil, 1 tbsp butter, 1 tsp starch, 1 tbsp water, salt, vegetable oil (for frying), sushi rice (for serving)","Clean scallion, slice. Peel and slice ginger. Pluck tarragon leaves, reserve stems. Season chicken with salt. Add oil to cold pan, add chicken skin-side down. Fry until crispy, 12 min. Flip, add scallion whites, tarragon stems, ginger. Fry until golden. Deglaze with dashi, soy sauce, mirin. Simmer 5 min. Remove chicken. Remove stems and ginger. Reduce sauce by half. Dissolve starch in water. Add sesame oil, butter, tarragon leaves, starch water. Stir. Slice chicken. Serve over rice with sauce, scallion greens, remaining tarragon.","Cal948, Fat76 g, Protein42 g, Carb19 g","japanese,weeknight dinner,salty,main,crowd pleaser,comfort food,poultry,french,spices,Asian,european,savory,frying,herbs"
Lemon shredded chicken (duplicate),https://www.kitchenstories.com/en/recipes/lemon-shredded-chicken-f15c,Easy 👌,35 min,0 min,0 min,5,,Based on 6 ratings,"4 chicken breasts, 1 onion, 500 ml chicken stock, 1 lemon, 3 cloves garlic, 180 g brown mushrooms, Handful of dried apricots, 3 bay leaves, 1 tsp Paprika, 1 tsp ground nutmeg, Bunch of fresh basil, Bunch of fresh chives, 1 tsp dried oregano, 1 tsp sugar, 1 tbsp soy sauce, 1 tsp Worcestershire sauce, Knob of butter, salt, pepper","Season and fry chicken 4 min each side. Quarter lemon, chop onion, basil, chives, crush garlic. Add to pan with stock, sugar, bay leaves, nutmeg, paprika, oregano. Season. Simmer with lid 8 min. Slice mushrooms, chop apricots. Add with soy and Worcestershire sauce. Simmer with lid 15-20 min. Remove chicken, shred. Stir back into sauce. Serve with chives and basil.",N/A,"weeknight dinner,one pot,side,main,american,poultry,dinner party,savory,mushrooms,herbs,spring"
